,Sector,CourseName,Duration,TopicName,URL
0,Computer Science Engineering,Python for Beginners (Full Course) | #100DaysOfCode Programming Tutorial in Hindi,29hrs 14min,Introduction to Programming & Python | Python Tutorial - Day #1,https://www.youtube.com/watch?v=7wnove7K-ZQ
1,Computer Science Engineering,Python for Beginners (Full Course) | #100DaysOfCode Programming Tutorial in Hindi,,Some Amazing Python Programs - The Power of Python | Python Tutorial - Day #2,https://www.youtube.com/watch?v=Tto8TS-fJQU
2,Computer Science Engineering,Python for Beginners (Full Course) | #100DaysOfCode Programming Tutorial in Hindi,,Modules and Pip | Python Tutorial - Day #3,https://www.youtube.com/watch?v=xwKO_y2gHxQ
3,Computer Science Engineering,Python for Beginners (Full Course) | #100DaysOfCode Programming Tutorial in Hindi,,Our First Python Program | Python Tutorial - Day #4,https://www.youtube.com/watch?v=7IWOYhfAcVg
4,Computer Science Engineering,Python for Beginners (Full Course) | #100DaysOfCode Programming Tutorial in Hindi,,"Comments, Escape Sequences & Print Statement | Python Tutorial - Day #5",https://www.youtube.com/watch?v=qxPMmW93eDs
5,Computer Science Engineering,Python for Beginners (Full Course) | #100DaysOfCode Programming Tutorial in Hindi,,Variables and Data Types | Python Tutorial - Day #6,https://www.youtube.com/watch?v=ORCuz7s5cCY
6,Computer Science Engineering,Python for Beginners (Full Course) | #100DaysOfCode Programming Tutorial in Hindi,,Exercise 1: Calculator using Python | Python Tutorial - Day #7,https://www.youtube.com/watch?v=FLVqcxnJP_E
7,Computer Science Engineering,Python for Beginners (Full Course) | #100DaysOfCode Programming Tutorial in Hindi,,Exercise 1: Calculator using Python (Solution) | Python Tutorial - Day #8,https://www.youtube.com/watch?v=dohaSBCKCr0
8,Computer Science Engineering,Python for Beginners (Full Course) | #100DaysOfCode Programming Tutorial in Hindi,,Typecasting in Python | Python Tutorial - Day #9,https://www.youtube.com/watch?v=Pu5bqySSSS0
9,Computer Science Engineering,Python for Beginners (Full Course) | #100DaysOfCode Programming Tutorial in Hindi,,Taking User Input in Python | Python Tutorial - Day #10,https://www.youtube.com/watch?v=WvG-R-xXouA
10,Computer Science Engineering,Python for Beginners (Full Course) | #100DaysOfCode Programming Tutorial in Hindi,,Strings in Python | Python Tutorial - Day #11,https://www.youtube.com/watch?v=kMNFQYArrLg
11,Computer Science Engineering,Python for Beginners (Full Course) | #100DaysOfCode Programming Tutorial in Hindi,,Strings Slicing and Operations on Strings in Python | Python Tutorial - Day #12,https://www.youtube.com/watch?v=8jW7lpT8HW8
12,Computer Science Engineering,Python for Beginners (Full Course) | #100DaysOfCode Programming Tutorial in Hindi,,String Methods in Python | Python Tutorial - Day #13,https://www.youtube.com/watch?v=0INvoK_T0cE
13,Computer Science Engineering,Python for Beginners (Full Course) | #100DaysOfCode Programming Tutorial in Hindi,,If Else Conditional Statements in Python | Python Tutorial - Day #14,https://www.youtube.com/watch?v=ceiuLR2ysas
14,Computer Science Engineering,Python for Beginners (Full Course) | #100DaysOfCode Programming Tutorial in Hindi,,Exercise 2: Good Morning Sir | Python Tutorial - Day #15,https://www.youtube.com/watch?v=d7ng_aV4qdI
15,Computer Science Engineering,Python for Beginners (Full Course) | #100DaysOfCode Programming Tutorial in Hindi,,Match Case Statements in Python | Python Tutorial - Day #16,https://www.youtube.com/watch?v=bthQCK1QAmQ
16,Computer Science Engineering,Python for Beginners (Full Course) | #100DaysOfCode Programming Tutorial in Hindi,,For Loops in Python | Python Tutorial - Day #17,https://www.youtube.com/watch?v=fIYVzKp0q5w
17,Computer Science Engineering,Python for Beginners (Full Course) | #100DaysOfCode Programming Tutorial in Hindi,,While Loops in Python | Python Tutorial - Day #18,https://www.youtube.com/watch?v=-tCFyIyKVx0
18,Computer Science Engineering,Python for Beginners (Full Course) | #100DaysOfCode Programming Tutorial in Hindi,,break and continue in Python | Python Tutorial - Day #19,https://www.youtube.com/watch?v=RkwJnjdrm70
19,Computer Science Engineering,Python for Beginners (Full Course) | #100DaysOfCode Programming Tutorial in Hindi,,Functions in Python | Python Tutorial - Day #20,https://www.youtube.com/watch?v=dyvxxJSGUsE
20,Computer Science Engineering,Python for Beginners (Full Course) | #100DaysOfCode Programming Tutorial in Hindi,,Function Arguments in Python | Python Tutorial - Day #21,https://www.youtube.com/watch?v=0d6b6fFuCkE
21,Computer Science Engineering,Python for Beginners (Full Course) | #100DaysOfCode Programming Tutorial in Hindi,,Introduction to Lists in Python | Python Tutorial - Day #22,https://www.youtube.com/watch?v=eF6nK5bSlmg
22,Computer Science Engineering,Python for Beginners (Full Course) | #100DaysOfCode Programming Tutorial in Hindi,,List Methods in Python | Python Tutorial - Day #23,https://www.youtube.com/watch?v=scWc3F8LbOo
23,Computer Science Engineering,Python for Beginners (Full Course) | #100DaysOfCode Programming Tutorial in Hindi,,Tuples in Python | Python Tutorial - Day #24,https://www.youtube.com/watch?v=PipsOUDKrVk
24,Computer Science Engineering,Python for Beginners (Full Course) | #100DaysOfCode Programming Tutorial in Hindi,,Operations on Tuples in Python | Python Tutorial - Day #25,https://www.youtube.com/watch?v=XblLSduioJI
25,Computer Science Engineering,Python for Beginners (Full Course) | #100DaysOfCode Programming Tutorial in Hindi,,Exercise 2: Solution & Shoutouts | Python Tutorial - Day #26,https://www.youtube.com/watch?v=IZBKXWrbqBM
26,Computer Science Engineering,Python for Beginners (Full Course) | #100DaysOfCode Programming Tutorial in Hindi,,Exercise 3: Kaun Banega Crorepati (KBC) | Python Tutorial - Day #27,https://www.youtube.com/watch?v=Vs1Z7K70Mvw
27,Computer Science Engineering,Python for Beginners (Full Course) | #100DaysOfCode Programming Tutorial in Hindi,,f-strings in Python | Python Tutorial - Day #28,https://www.youtube.com/watch?v=ixmxgUf8yIg
28,Computer Science Engineering,Python for Beginners (Full Course) | #100DaysOfCode Programming Tutorial in Hindi,,Docstrings in Python | Python Tutorial - Day #29,https://www.youtube.com/watch?v=SJzsNd7SM0g
29,Computer Science Engineering,Python for Beginners (Full Course) | #100DaysOfCode Programming Tutorial in Hindi,,Recursion in Python | Python Tutorial - Day #30,https://www.youtube.com/watch?v=XYwJKFB8DUk
30,Computer Science Engineering,Python for Beginners (Full Course) | #100DaysOfCode Programming Tutorial in Hindi,,Sets in Python | Python Tutorial - Day #31,https://www.youtube.com/watch?v=l3kCO8cVA6o
31,Computer Science Engineering,Python for Beginners (Full Course) | #100DaysOfCode Programming Tutorial in Hindi,,Set Methods in Python | Python Tutorial - Day #32,https://www.youtube.com/watch?v=HOrutCnp2zo
